id,saleprice
2658,131924.67704752693
2718,177765.47693423324
2414,229513.38060869306
1989,98167.97115754742
625,169843.83165190037
333,98671.1892835185
1327,110103.1371767759
858,149133.13640189404
95,181810.38764045
1568,157467.43318098746
2482,152976.92948494875
1364,113482.6969500203
2584,144809.17113845455
818,275735.60744547093
2673,154157.91521652657
2089,127603.8528085739
1297,153922.2051431781
790,112989.96899100736
2616,200741.91619319798
720,209836.38393574313
222,143562.2402616271
557,118464.0209464482
1148,181920.92509123945
2766,165926.19527895655
534,175183.45170602453
1452,115729.9914181229
630,148143.2362391484
2648,140045.51725116908
125,156262.78348465954
1904,43519.82796804469
1670,106343.70648735526
756,105718.64146315852
717,234150.98104526487
1032,164310.0667086633
852,207128.64525343617
1731,202894.12613986272
2639,119743.77334230866
2071,71283.00263668498
1267,108657.77516594541
1851,186013.9230495949
567,174473.417897825
2439,205070.19796441554
1898,145889.5271036036
647,167353.33139087257
2256,221594.99654851272
979,108034.19569234643
1444,219185.2694205866
2485,118194.39558853216
157,109260.73706839042
88,123080.84943396915
2003,111657.90487346522
186,207565.16833289384
1425,252929.62356703012
2695,130792.40485253418
738,102744.64608855403
395,143924.2844413683
1353,162127.29069546395
1878,152862.58387450443
390,166818.8825978257
1456,228364.4640263937
1103,318416.9713171498
1387,146312.25768802725
2070,142575.09336032916
1199,177993.9930946783
2479,167897.40993031466
501,297337.5822432763
2362,99143.21700629959
1718,213554.79398359658
2188,110300.08035595616
1483,159019.4619368069
2557,87036.00651018342
437,361055.07642130385
2224,206986.42369895833
1628,174849.9957307002
397,120489.58224255087
587,202340.3555150298
971,147193.832380912
2611,148548.59626569727
1887,71108.45403594334
2399,372561.23856378935
2148,197975.96268224163
304,123987.97557423683
1997,137123.1627464081
2817,127069.293129356
1431,203036.38578834533
427,326500.16991872515
263,111973.08450376803
598,191210.28466775274
2895,252781.478231707
687,144058.81896677427
1822,133131.58815722473
2191,111275.44374545167
179,103611.94428353422
1009,222293.30009634662
2010,118731.47382541368
1991,141028.95151798858
1411,192878.97571241707
1721,247331.6131412808
1144,178852.9375457267
593,223250.08668045542
575,310555.41580789955
1249,166957.27487760436
1604,121246.74522849356
1064,485335.64873152133
1923,151632.37961322712
1988,97691.24830304705
2325,178082.9178155184
114,204412.42353939533
2700,178238.25833437266
217,159902.88225130909
343,186737.946976979
386,230336.66601911874
2005,113005.70965469684
2908,127027.54678038601
1814,252363.76035040888
2446,520554.8859050592
208,142093.297925233
1679,111704.47264207827
822,340538.62381921243
6,194509.72713839982
1781,439468.8325898256
2397,312889.5761051157
2340,322667.3792552389
1618,163860.0544123408
2843,149611.6917095659
1061,376084.43277951604
2786,112834.6911049633
1935,130175.77436882211
1341,116096.559447543
521,289079.39569313405
