id,saleprice
2658,131019.42674977922
2718,178323.24474940138
2414,227238.18878983037
1989,98738.20340110583
625,170379.4390674261
333,98390.1567507956
1327,110685.2455001966
858,149871.9908465068
95,181967.26116515233
1568,157502.45849800156
2482,153669.6786571835
1364,113505.00066649391
2584,144671.81596997505
818,275737.6930673181
2673,154254.58509610748
2089,127192.33472815284
1297,154126.97473506816
790,112629.47160563293
2616,200336.69569884133
720,208771.5616400673
222,144342.59575969863
557,119043.3296419867
1148,182794.96414404165
2766,165738.02794255276
534,176363.10797163774
1452,115908.96122762228
630,148243.23492079513
2648,139789.93282286232
125,156369.98602786462
1904,43696.86697113764
1670,107318.01282526464
756,106075.06397141957
717,234299.03549892287
1032,164703.53756362654
852,208361.83699011727
1731,201819.7056596308
2639,119810.56609981417
2071,71239.100049127
1267,108962.61526990999
1851,187060.78777711885
567,173850.04153955018
2439,205463.15171292447
1898,146523.09310703998
647,167646.5816344478
2256,222182.0422289868
979,108355.29080795348
1444,219543.98955441322
2485,118181.97574445308
157,109599.26476190482
88,122846.84574742924
2003,111301.12014216268
186,205735.39492612449
1425,254910.0831343299
2695,131160.1464436443
738,102813.5099576627
395,144549.46834296183
1353,160584.9362017444
1878,153331.23958242688
390,166279.42220534768
1456,228719.21693147212
1103,318917.96525591635
1387,146003.25556813268
2070,143194.05788373103
1199,177074.20768665452
2479,168008.2143783372
501,298779.46336213005
2362,99199.45319556235
1718,214016.5963139016
2188,111138.63065750452
1483,160138.92620155634
2557,87893.91079042728
437,361000.68029102776
2224,207572.5431723553
1628,175223.60214931134
397,120545.33681752271
587,202773.80801975142
971,145862.67811064588
2611,148023.69448604106
1887,70073.72660179615
2399,372459.2397924114
2148,199178.67954590256
304,123924.64883969001
1997,137700.21788415307
2817,127256.36157253708
1431,203410.15621995582
427,325042.78246563475
263,112216.31395123858
598,191675.20425367265
2895,253463.54088733168
687,143930.45004433533
1822,133558.7073942176
2191,111743.5197643524
179,103247.29176481598
1009,222753.6933513803
2010,118599.99990471081
1991,140564.1012803128
1411,192918.9144658674
1721,247591.49412286375
1144,179080.66161717803
593,222751.0812902785
575,311604.39875243726
1249,167266.8312985645
1604,120981.39223353183
1064,484693.13669544226
1923,151113.34743282996
1988,97948.41521124136
2325,178860.3951691016
114,204450.31022706954
2700,178143.97014363314
217,159759.67826922832
343,187032.18320606844
386,230624.59681581595
2005,112470.3125730959
2908,127747.09062460536
1814,252447.66948710615
2446,520129.04959110206
208,142464.98924295712
1679,112001.90969603372
822,342258.908350137
6,195150.42515278983
1781,437998.47423883947
2397,311837.62493061856
2340,322854.48341954214
1618,164025.0895213331
2843,149547.9596639397
1061,375733.79195756145
2786,112784.76556406799
1935,130079.02489324682
1341,116913.5009073258
521,290942.7655883026
2136,135545.13591163815
996,194877.5309549614
227,136174.38611796248
135,185236.37149444042
1167,163271.86609775224
294,216414.47767050422
1776,202260.86469714512
540,174916.65956483653
1717,226849.98637515935
2303,118725.535738051
116,186934.15576294
127,137990.96185771227
1371,132124.18198864395
1014,177475.4642807913
1507,77196.73017014917
702,145447.66189080957
750,145534.03009051585
261,140695.4233469987
1559,64447.24524451031
577,212518.7512679747
2812,193444.60040336655
2080,162628.75551970262
1368,100422.06755795242
2376,124552.23221266214
659,98047.31008418366
1235,130658.87295321064
332,81929.65866582004
1917,143549.56296275673
2094,237981.61394378683
1460,268408.16955842206
1471,218291.6175929635
1509,119114.56415703356
1922,128571.1955353824
433,493228.8317565648
460,292943.58577836957
1116,250447.10640767805
1137,170983.4549919737
53,170231.5338244416
2354,272272.674008545
1475,192218.05661123493
1761,539485.1649560534
842,133711.37534342927
2739,199309.86139907496
2509,158019.96006636936
1007,201764.7376569018
2610,182621.50832639958
1952,78054.78949495037
2719,182638.6943815334
2921,98902.45552497006
1966,135409.24856951588
292,119902.68438550338
1204,200360.85953006457
1829,241147.29282193413
2419,195483.52189890697
391,147548.61365006425
798,108975.44231466352
481,198291.53304787306
193,206434.80317290578
555,109633.29166285752
899,69797.85599399736
2357,182656.0125613624
328,130991.09374741891
1356,93762.80947541122
1154,103649.79988569516
1730,183964.55197522877
2249,143338.46345398418
1119,298907.1593733971
2856,146055.35008785373
1394,135976.5073332743
2587,103505.37175019002
61,302631.1353829591
2661,187605.5704233068
2711,123941.93819874173
1147,183553.20007299847
757,134348.34318238802
2623,76297.91849905447
2378,135491.74414996995
1413,138479.44744866472
1722,237143.77115934214
1112,212076.98040526678
1623,193024.99072970136
1201,193853.40447962898
1513,127758.62509930442
957,436944.9174516639
1171,304836.6354440084
1145,197442.3652176684
2726,234528.48224800773
703,140948.07325193868
760,112719.06394346652
1964,136610.25026268285
2512,187284.13560806782
159,148859.5751065655
1281,172269.53465844423
468,183346.61454546597
