id,mssubclass,mszoning,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,poolarea,poolqc,fence,miscfeature,miscval,mosold,saletype,saleprice,totalporch,totalbaths,remod,age_blt,age_garage,age_remod
109,60,RL,13517.0,Pave,NA,3,Lvl,4,CulDSac,3,Sawyer,RRAe,Norm,1Fam,2Story,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,5,Y,5,725.0,754.0,0.0,1479.0,3,1,4,7,0,0,Attchd,2,2,475.0,3,3,3,0.0,0,0,NA,0.0,3,WD ,130500.0,44.0,2.5,1,34,34,5
544,60,RL,11492.0,Pave,NA,3,Lvl,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,5,Y,5,913.0,1209.0,0.0,2122.0,4,1,4,7,1,3,Attchd,2,2,559.0,3,3,3,0.0,0,0,NA,0.0,4,WD ,220000.0,74.0,3.5,1,13,12,12
153,20,RL,7922.0,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,Y,5,1057.0,0.0,0.0,1057.0,3,1,4,7,0,0,Detchd,1,1,246.0,3,3,3,0.0,0,0,NA,0.0,1,WD ,109000.0,52.0,2.0,1,57,57,3
318,60,RL,9802.0,Pave,NA,4,Lvl,4,Inside,3,Timber,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,Y,5,744.0,700.0,0.0,1444.0,3,1,3,7,0,0,BuiltIn,3,2,400.0,3,3,3,0.0,0,0,NA,0.0,4,WD ,174000.0,100.0,2.5,1,4,3,3
255,50,RL,14235.0,Pave,NA,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,3,Y,5,831.0,614.0,0.0,1445.0,3,1,3,7,0,0,Detchd,1,2,484.0,3,3,1,0.0,0,0,NA,0.0,3,WD ,138500.0,59.0,2.0,1,110,53,17
138,20,RL,16492.0,Pave,NA,3,Lvl,4,Corner,3,NAmes,PosA,Norm,1Fam,1Story,6,6,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,5,Y,5,1888.0,0.0,0.0,1888.0,2,1,4,4,1,4,Attchd,3,2,578.0,3,3,3,0.0,0,0,NA,0.0,6,WD ,190000.0,0.0,2.5,1,44,44,8
2827,180,RM,3675.0,Pave,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,4,Y,5,1072.0,0.0,0.0,1072.0,2,1,3,7,0,0,Basment,3,2,525.0,3,3,3,0.0,0,0,NA,0.0,6,New,140000.0,44.0,3.0,1,1,1,0
145,20,RL,12160.0,Pave,NA,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,Y,5,1188.0,0.0,0.0,1188.0,3,1,3,7,0,0,Attchd,2,2,531.0,3,3,3,0.0,0,3,NA,0.0,5,COD,142000.0,0.0,2.0,0,51,51,51
1942,20,RL,15783.0,Pave,NA,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,3,Y,5,924.0,0.0,0.0,924.0,2,1,3,7,0,0,Detchd,1,1,420.0,3,3,3,0.0,0,3,Shed,400.0,6,WD ,112500.0,324.0,1.0,0,55,55,55
1956,60,RL,11606.0,Pave,NA,3,HLS,4,Inside,1,NAmes,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,Y,5,1040.0,1040.0,0.0,2080.0,5,1,2,7,2,3,Attchd,1,2,504.0,3,3,3,0.0,0,0,NA,0.0,9,WD ,135000.0,335.0,2.5,0,38,38,38
