id,lotarea,lotshape,utilities,landslope,overallqual,overallcond,masvnrarea,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplacequ,garagefinish,garagearea,garagequal,garagecond,paveddrive,poolarea,poolqc,fence,mosold,saleprice,totalporch,totalbaths,remod,age_blt,age_garage,age_remod,nhood_Blmngtn,nhood_Blueste,nhood_BrDale,nhood_BrkSide,nhood_ClearCr,nhood_CollgCr,nhood_Crawfor,nhood_Edwards,nhood_Gilbert,nhood_Greens,nhood_GrnHill,nhood_IDOTRR,nhood_Landmrk,nhood_MeadowV,nhood_Mitchel,nhood_NAmes,nhood_NPkVill,nhood_NWAmes,nhood_NoRidge,nhood_NridgHt,nhood_OldTown,nhood_SWISU,nhood_Sawyer,nhood_SawyerW,nhood_Somerst,nhood_StoneBr,nhood_Timber,nhood_Veenker,rstyle_Gable,rstyle_Hip,fd_BrkTil,fd_CBlock,fd_PConc,hstyle_2s,btype_1Fam,btype_2Fam,btype_twnh,mvtype_BrkFace,mvtype_None,mvtype_Stone,gtype_Attchd,gtype_BuiltIn,gtype_Detchd,gtype_NA,newhouse,mainrd,railway,park
109,13517.0,3,4,3,6,8,289.0,3,3,1,6,533.0,1,0.0,192.0,725.0,1,5,725.0,754.0,0.0,1479.0,3,1,4,7,0,2,475.0,3,3,3,0.0,0,0,3,130500.0,44.0,2.5,1,34,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
544,11492.0,3,4,3,7,5,132.0,4,3,1,6,637.0,1,0.0,276.0,913.0,1,5,913.0,1209.0,0.0,2122.0,4,1,4,7,3,2,559.0,3,3,3,0.0,0,0,4,220000.0,74.0,3.5,1,13,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
153,7922.0,4,4,3,5,7,0.0,3,3,1,6,731.0,1,0.0,326.0,1057.0,1,5,1057.0,0.0,0.0,1057.0,3,1,4,7,0,1,246.0,3,3,3,0.0,0,0,1,109000.0,52.0,2.0,1,57,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
318,9802.0,4,4,3,5,5,0.0,4,3,1,1,0.0,1,0.0,384.0,384.0,1,5,744.0,700.0,0.0,1444.0,3,1,3,7,0,3,400.0,3,3,3,0.0,0,0,4,174000.0,100.0,2.5,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
255,14235.0,3,4,3,6,8,0.0,2,4,1,1,0.0,1,0.0,676.0,676.0,1,5,831.0,614.0,0.0,1445.0,3,1,3,7,0,1,484.0,3,3,1,0.0,0,0,3,138500.0,59.0,2.0,1,110,53,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
138,16492.0,3,4,3,6,6,0.0,3,3,1,5,247.0,3,713.0,557.0,1517.0,1,5,1888.0,0.0,0.0,1888.0,2,1,4,4,4,3,578.0,3,3,3,0.0,0,0,6,190000.0,0.0,2.5,1,44,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2827,3675.0,4,4,3,6,5,82.0,4,3,4,6,547.0,1,0.0,0.0,547.0,1,5,1072.0,0.0,0.0,1072.0,2,1,3,7,0,3,525.0,3,3,3,0.0,0,0,6,140000.0,44.0,3.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
145,12160.0,3,4,3,5,5,180.0,3,3,1,3,1000.0,1,0.0,188.0,1188.0,1,5,1188.0,0.0,0.0,1188.0,3,1,3,7,0,2,531.0,3,3,3,0.0,0,3,5,142000.0,0.0,2.0,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1942,15783.0,4,4,3,5,5,0.0,3,3,1,3,292.0,1,0.0,632.0,924.0,1,5,924.0,0.0,0.0,924.0,2,1,3,7,0,1,420.0,3,3,3,0.0,0,3,6,112500.0,324.0,1.0,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1956,11606.0,3,4,1,5,5,192.0,4,3,3,3,650.0,1,0.0,390.0,1040.0,1,5,1040.0,1040.0,0.0,2080.0,5,1,2,7,3,1,504.0,3,3,3,0.0,0,0,9,135000.0,335.0,2.5,0,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
